goods_id,highest_price,total_count
33868,357,137
33870,294,94
34586,170,32
35228,39.4,31
35300,197,14
35878,137,7
35894,451,11
36359,28.1,19
38157,970,45
38159,730,13
38676,67,6
38678,18,13
38834,106,7
38836,51,5
38881,628,8
39090,39,28
39117,36,25
39385,45.2,4
39444,81,7
39799,16.6,3
39918,11.7,14
39943,3.6,9
42349,2190,35
42351,3590,9
42353,2530,10
42395,861,10
42391,3200,21
42530,5410,94
42682,750,33
42965,4830,11
43052,2270,30
43265,2210,7
43294,3180,6
43389,5350,11
43443,680,5
43497,780,10
43774,2370,5
44002,607,29
45654,1110,2
755696,33.1,40
755701,389,87
759200,25.6,70
759281,71,9
759509,775,85
759672,780,15
762185,53,8
763243,227,127
763420,540,19
773529,12.5,27
773668,95,23
773706,41.6,11
773757,68,20
773797,116,3
775988,4860,25
776879,4900,4
779226,11,26
779263,80,21
779322,39,8
779333,328,22
781660,824,91
779328,261,5
781671,540,101
781677,944,12
781718,1960,20
835330,75,12
835348,30,218
835382,39.2,91
835470,21.9,468
835504,27.7,152
835595,33.3,18
835610,59,142
835741,12,42
835822,112,19
835837,375,4
773780,310,8
goods_id,highest_price,total_count
33868,357,138
33870,293,95
34586,172,33
35228,39.3,29
35300,199,16
35878,134,6
35894,451,11
36359,28.6,19
38157,960,47
38159,715,14
38676,67,5
38678,18,11
38834,110,8
38836,51,6
38881,628,7
39090,39,27
39117,36.4,25
39385,45.2,4
39444,82,7
39799,17.4,3
39918,11.9,15
39943,3.6,9
42349,2190,34
42351,3600,9
42353,2550,10
42391,3220,21
42395,861,10
42530,5440,96
42682,755,35
42965,4850,12
43052,2300,29
43265,2160,6
43294,3220,6
43389,5480,9
43443,680,5
43497,780,10
43774,2300,3
44002,600,27
45654,1110,2
755696,33.3,44
755701,391,88
759200,25.1,71
759281,73,12
759509,770,80
759672,800,16
763243,224,123
762185,53,8
763420,531,21
773529,12.6,29
773668,95,23
773706,43.2,12
773757,69,21
773780,310,7
773797,115,2
775988,4850,23
776879,4910,5
779226,11.8,28
779263,79,20
779322,39,8
779328,261,5
779333,340,22
781660,832,90
781671,555,103
781677,950,15
781718,2050,20
835330,75,12
835348,29.5,221
835382,38.5,85
835470,22,458
835504,27.5,147
835595,33.3,17
835610,60,137
835741,11.6,43
835822,113,17
835837,380,4
