goods_id,name,steam_price_cny,lowest_price,total_count,steam_price_cny,lowest_price
33868,AK-47 | 血腥运动 (崭新出厂),505.14,369,91,519.04,365
33870,AK-47 | 血腥运动 (略有磨损),445.29,309.5,91,429.29,306.5
34586,炙热沙城 II 胸章,239.68,174.5,59,239.79,171.99
35228,M4A1 消音型 | 破碎铅秋 (崭新出厂),56.32,41.56,91,56.82,40.85
35300,M4A4 | 地狱烈焰 (崭新出厂),287.32,214.4,91,303.46,204.99
35878,“血猎大行动”通行证（已过期）,254.6,173.8,59,254.97,171.9
35894,“野火大行动”通行证（已过期）,890.38,690.3,12,865.17,689.7
36359,SCAR-20 | 血腥运动 (崭新出厂),42.95,29.9,91,49,30
38157,AK-47（StatTrak?） | 血腥运动 (崭新出厂),1547.57,1000,91,1520.05,992.5
38159,AK-47（StatTrak?） | 血腥运动 (略有磨损),1079.91,778,91,1097.61,770
38676,加利尔 AR（StatTrak?） | 火箭冰棒 (崭新出厂),110.45,73.4,91,110.02,73.8
38678,加利尔 AR（StatTrak?） | 火箭冰棒 (略有磨损),29.38,19,91,26.34,18.5
38834,M4A1 消音型（StatTrak?） | 破碎铅秋 (崭新出厂),174.75,119.5,64,184.59,116.99
38836,M4A1 消音型（StatTrak?） | 破碎铅秋 (略有磨损),85.38,57,91,80.71,56.49
38881,M4A4（StatTrak?） | 地狱烈焰 (崭新出厂),1027.84,663,91,1032.98,649.5
39117,音乐盒（StatTrak?） | 多名作曲家 — 迈阿密热线,59.6,38.8,91,65.53,46.88
39385,PP-野牛（StatTrak?） | 核燃料棒 (崭新出厂),68.09,51.9,65,38.46,91
39444,SCAR-20（StatTrak?） | 血腥运动 (崭新出厂),139.77,93,68,73.67,51.9
39799,XM1014（StatTrak?） | 四季 (崭新出厂),26.94,19,91,137.78,92.9
39918,印花 | 神烦爆破狗,19.74,12.3,91,25.76,19
39943,印花 | 白羽鸡,6.75,5.13,88,14.05,91
42349,刺刀（★）,3176.99,2209,91,4.38,91
42351,刺刀（★） | 自动化 (崭新出厂),5790.91,3750,44,2219.9,91
42391,刺刀（★） | 渐变之色 (崭新出厂),5200.97,3220,91,5800.13,3770
42395,刺刀（★） | 森林 DDPAT (略有磨损),1388.64,907.5,39,4038.93,2577
42530,蝴蝶刀（★）,7369.15,5388,91,5073.13,3249
42682,折叠刀（★）,1086.15,772.5,91,1475.18,899.5
43052,M9 刺刀（★）,3445.6,2325,91,5436,91
39090,音乐盒（StatTrak?） | Daniel Sadowski — 绝对统御,61.66,45.7,89,769.5,91
43265,刺刀（★ StatTrak?）,7488.22,2256.5,28,9873.15,4897
43294,刺刀（★ StatTrak?） | 渐变之色 (崭新出厂),5878.73,3400,36,2299.9,20
43389,蝴蝶刀（★ StatTrak?）,8229.31,5437.5,83,7500.26,2250
43443,弯刀（★ StatTrak?）,1187.09,760,11,5901.18,3399
43497,折叠刀（★ StatTrak?）,1311.24,800,24,8264.26,5449.5
44002,弯刀（★）,914.55,619,91,1065.19,760
45654,刺刀（★） | 森林 DDPAT (崭新出厂),4455.05,1450,3,1316.42,810
755696,欢迎翻盘胸章,49.95,35.5,91,3608.54,2388
755701,咆哮胸章,583.71,398,91,614.98,91
759200,AWP | 猫猫狗狗 (崭新出厂),34.33,25.2,91,4473.97,1450
759281,AWP（StatTrak?） | 猫猫狗狗 (崭新出厂),114.44,80.1,91,36.54,24.9
42965,爪子刀（★） | 自动化 (略有磨损),9878.53,4924,91,591.93,397
759509,短剑（★）,1153.14,790,91,113.18,78.9
762185,格洛克 18 型 | 核子花园 (崭新出厂),80.56,56.4,91,790,91
763243,AWP | 黑色魅影 (崭新出厂),334.96,238,91,1219.63,817.4
763420,AWP（StatTrak?） | 黑色魅影 (崭新出厂),886.46,585.5,91,52.3,35.35
773529,印花 | Rush 4x20 (全息),17.42,12.19,91,79.29,55
773668,法玛斯 | 纪念碑 (崭新出厂),148.77,99.3,91,332.06,229.5
43774,M9 刺刀（★ StatTrak?）,3593.28,2388,23,890.22,576
773757,法玛斯 | 纪念碑 (略有磨损),105.5,69.4,91,16.46,12.57
42353,刺刀（★） | 自动化 (略有磨损),4041.14,2570,91,157.8,99.5
773780,法玛斯（StatTrak?） | 纪念碑 (崭新出厂),514.34,329.44,91,69.08,40.89
773797,P90（StatTrak?） | 往日行动 (崭新出厂),187.6,134.5,49,102.27,71.5
775988,骷髅匕首（★）,7072.12,4950,91,468.35,329.44
776879,骷髅匕首（★ StatTrak?）,9371.01,5020,32,203.12,134
779226,SSG 08 | 浮生如梦 (崭新出厂),16.65,11.2,91,4949,91
779263,MAC-10 | 渐变迪斯科 (崭新出厂),121.77,84.3,91,9365.93,5020
759672,短剑（★ StatTrak?）,1221.03,824,67,16.85,11.3
779322,SSG 08（StatTrak?） | 浮生如梦 (崭新出厂),60.95,39.9,91,118.61,81.8
779328,MAC-10（StatTrak?） | 渐变迪斯科 (崭新出厂),390.51,270,88,64.11,41
781660,沙漠之鹰 | 印花集 (崭新出厂),1148.19,866.5,91,482.62,358.8
781671,沙漠之鹰 | 印花集 (略有磨损),781.02,589.5,91,390.75,269.5
781677,沙漠之鹰（StatTrak?） | 印花集 (略有磨损),1747.14,1199,91,1158.88,873
835330,“狂牙大行动”通行证（已过期）,111.68,79.28,91,780.59,574.4
835504,印花 | 战痕累累（全息）,40.89,29.26,91,1598.56,1169
835595,M4A4 | 全球攻势 (崭新出厂),56.32,37.74,91,3108.09,2050
835610,残酷的达里尔爵士（迈阿密）| 专业人士,83.77,59,91,114.47,78.1
835837,M4A4（StatTrak?） | 赛博 (崭新出厂),663.36,432.9,91,45,31
779333,M4A1 消音型 | 二号玩家 (崭新出厂),496.91,362,91,57.46,39.89
773706,P90 | 往日行动 (崭新出厂),69.11,43.09,91,29.44,22
781718,沙漠之鹰（StatTrak?） | 印花集 (崭新出厂),3055.35,2089,91,43.06,28.5
835348,老K | 专业人士,43.72,31.73,91,53.59,37.48
835382,残酷的达里尔爵士（聒噪）| 专业人士,55.1,39.95,91,84,59.77
835470,指挥官 梅 “极寒” 贾米森 | 特警,31.18,22.09,91,184.2,128.5
835822,M4A4 | 赛博 (崭新出厂),185.8,132.5,91,16.4,12.7
835741,化学防害专家 | 特警,16.84,12.5,91,661.92,430
